Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,TrackTemp,AirTemp,Fuel_Weight_kg,LapTime_s,Fuel_Corrected_LapTime,Compound_C_Rating,Race,Country,Circuit,Stint_ID,traction,asphalt_grip,asphalt_abrasion,track_evolution,tyre_stress,braking,lateral,downforce,Degradation_Delta,Stint_Length,Tyre_Thermal_Stress,Pressure_Deviation_Index,Slip_Energy_Index,Lateral_Load_Index,Brake_Thermal_Index,Aero_Load_Index,Latent_Degradation_Mean,Latent_Degradation_Std,Prior_Degradation_Mean,Prior_Degradation_Std,Latent_Degradation_Rate
0 days 01:13:18.024000,VER,1,0 days 00:01:33.498000,11.0,1.0,,,0 days 00:00:33.132000,0 days 00:00:42.299000,0 days 00:00:18.067000,0 days 01:12:17.679000,0 days 01:12:59.978000,0 days 01:13:18.045000,282.0,297.0,263.0,298.0,True,MEDIUM,11.0,True,Red Bull Racing,0 days 01:11:44.526000,,1,1.0,,,False,True,20.6,14.3,89.24528301886792,93.498,91.14192452830189,2.0,Japanese Grand Prix,Japan,Suzuka,2025_Japanese Grand Prix_VER_1.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,0.29733962264151614,20,1.8299999999999998,1.457142857142857,1.3,2.2222222222222223,0.6666666666666666,1.3333333333333333,0.25421733976570526,0.1552051536187722,0.23441595101655416,0.18748317253156435,0.011210730479921096
0 days 01:14:51.667000,VER,1,0 days 00:01:33.643000,12.0,1.0,,,0 days 00:00:33.046000,0 days 00:00:42.461000,0 days 00:00:18.136000,0 days 01:13:51.091000,0 days 01:14:33.552000,0 days 01:14:51.688000,284.0,297.0,263.0,298.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:13:18.024000,,1,1.0,,,False,True,20.4,14.3,87.16981132075472,93.643,91.34171698113208,2.0,Japanese Grand Prix,Japan,Suzuka,2025_Japanese Grand Prix_VER_1.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,0.49713207547171123,20,1.84,1.4642857142857144,1.3,2.2222222222222223,0.6666666666666666,1.3333333333333333,0.33630881288499737,0.15302510986501172,0.26542807024562637,0.18367710950189847,0.021796607279712096
0 days 01:16:25.307000,VER,1,0 days 00:01:33.640000,13.0,1.0,,,0 days 00:00:33.035000,0 days 00:00:42.473000,0 days 00:00:18.132000,0 days 01:15:24.723000,0 days 01:16:07.196000,0 days 01:16:25.328000,283.0,297.0,263.0,297.0,False,MEDIUM,13.0,True,Red Bull Racing,0 days 01:14:51.667000,,1,1.0,,,False,True,20.4,14.3,85.09433962264151,93.64,91.39350943396227,2.0,Japanese Grand Prix,Japan,Suzuka,2025_Japanese Grand Prix_VER_1.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,0.548924528301896,20,1.84,1.4642857142857144,1.3,2.2222222222222223,0.6666666666666666,1.3333333333333333,0.4151542823066396,0.15127874167963787,0.3581054201647095,0.18067957961528786,0.03019352469896451
0 days 01:17:58.687000,VER,1,0 days 00:01:33.380000,14.0,1.0,,,0 days 00:00:32.875000,0 days 00:00:42.429000,0 days 00:00:18.076000,0 days 01:16:58.203000,0 days 01:17:40.632000,0 days 01:17:58.708000,284.0,297.0,263.0,298.0,True,MEDIUM,14.0,True,Red Bull Racing,0 days 01:16:25.307000,,1,1.0,,,False,True,20.4,14.3,83.01886792452831,93.38,91.18830188679244,2.0,Japanese Grand Prix,Japan,Suzuka,2025_Japanese Grand Prix_VER_1.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,0.3437169811320757,20,1.84,1.4642857142857144,1.3,2.2222222222222223,0.6666666666666666,1.3333333333333333,0.41550068115654615,0.1499352927425541,0.4453478070056041,0.17840362696188478,0.0258348441368539
0 days 01:19:32.055000,VER,1,0 days 00:01:33.368000,15.0,1.0,,,0 days 00:00:32.898000,0 days 00:00:42.373000,0 days 00:00:18.097000,0 days 01:18:31.606000,0 days 01:19:13.979000,0 days 01:19:32.076000,285.0,297.0,263.0,299.0,True,MEDIUM,15.0,True,Red Bull Racing,0 days 01:17:58.687000,,1,1.0,,,False,True,20.3,14.4,80.9433962264151,93.368,91.23109433962264,2.0,Japanese Grand Prix,Japan,Suzuka,2025_Japanese Grand Prix_VER_1.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,0.38650943396227433,20,1.845,1.4678571428571427,1.3,2.2222222222222223,0.6666666666666666,1.3333333333333333,0.42544674115367065,0.1489419483845311,0.44133552529340003,0.1767370967687972,0.023522299995337857
0 days 01:21:05.486000,VER,1,0 days 00:01:33.431000,16.0,1.0,,,0 days 00:00:32.825000,0 days 00:00:42.538000,0 days 00:00:18.068000,0 days 01:20:04.901000,0 days 01:20:47.439000,0 days 01:21:05.507000,284.0,297.0,263.0,298.0,False,MEDIUM,16.0,True,Red Bull Racing,0 days 01:19:32.055000,,1,1.0,,,False,True,20.1,14.5,78.86792452830188,93.431,91.34888679245283,2.0,Japanese Grand Prix,Japan,Suzuka,2025_Japanese Grand Prix_VER_1.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,0.5043018867924616,20,1.8549999999999998,1.4749999999999999,1.3,2.2222222222222223,0.6666666666666666,1.3333333333333333,0.4648532292365553,0.14823690832839673,0.4489690411490085,0.17556249213042938,0.02583287708206172
0 days 01:22:39.028000,VER,1,0 days 00:01:33.542000,17.0,1.0,,,0 days 00:00:32.841000,0 days 00:00:42.557000,0 days 00:00:18.144000,0 days 01:21:38.348000,0 days 01:22:20.905000,0 days 01:22:39.049000,284.0,298.0,263.0,298.0,False,MEDIUM,17.0,True,Red Bull Racing,0 days 01:21:05.486000,,1,1.0,,,False,True,20.0,14.4,76.79245283018868,93.542,91.51467924528302,2.0,Japanese Grand Prix,Japan,Suzuka,2025_Japanese Grand Prix_VER_1.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,0.6700943396226506,20,1.8599999999999999,1.4785714285714286,1.3,2.2222222222222223,0.6666666666666666,1.3333333333333333,0.5418559435278263,0.14775805776673562,0.49068610631861703,0.17476856479376185,0.0332831730459801
0 days 01:24:12.381000,VER,1,0 days 00:01:33.353000,18.0,1.0,,,0 days 00:00:32.785000,0 days 00:00:42.491000,0 days 00:00:18.077000,0 days 01:23:11.834000,0 days 01:23:54.325000,0 days 01:24:12.402000,285.0,298.0,263.0,297.0,True,MEDIUM,18.0,True,Red Bull Racing,0 days 01:22:39.028000,,1,1.0,,,False,True,20.0,14.4,74.71698113207547,93.353,91.3804716981132,2.0,Japanese Grand Prix,Japan,Suzuka,2025_Japanese Grand Prix_VER_1.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,0.5358867924528283,20,1.8599999999999999,1.4785714285714286,1.3,2.2222222222222223,0.6666666666666666,1.3333333333333333,0.5639906395404005,0.14744852231100353,0.5751391165738063,0.17425699711738504,0.03165744852121361
0 days 01:25:45.739000,VER,1,0 days 00:01:33.358000,19.0,1.0,,,0 days 00:00:32.745000,0 days 00:00:42.482000,0 days 00:00:18.131000,0 days 01:24:45.147000,0 days 01:25:27.629000,0 days 01:25:45.760000,284.0,298.0,264.0,298.0,False,MEDIUM,19.0,True,Red Bull Racing,0 days 01:24:12.381000,,1,1.0,,,False,True,20.1,14.4,72.64150943396226,93.358,91.4402641509434,2.0,Japanese Grand Prix,Japan,Suzuka,2025_Japanese Grand Prix_VER_1.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,0.5956792452830371,20,1.8549999999999998,1.4749999999999999,1.3,2.2222222222222223,0.6666666666666666,1.3333333333333333,0.5956569147216539,0.14725979127846786,0.5956480880616142,0.17394570921506408,0.03165873776611982
0 days 01:27:18.803000,VER,1,0 days 00:01:33.064000,20.0,1.0,,,0 days 00:00:32.474000,0 days 00:00:42.472000,0 days 00:00:18.118000,0 days 01:26:18.234000,0 days 01:27:00.706000,0 days 01:27:18.824000,285.0,298.0,264.0,298.0,True,MEDIUM,20.0,True,Red Bull Racing,0 days 01:25:45.739000,,1,1.0,,,False,True,20.1,14.4,70.56603773584905,93.064,91.20105660377358,2.0,Japanese Grand Prix,Japan,Suzuka,2025_Japanese Grand Prix_VER_1.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,0.3564716981132108,20,1.8549999999999998,1.4749999999999999,1.3,2.2222222222222223,0.6666666666666666,1.3333333333333333,0.5506984438310388,0.14715293571600252,0.6273156524877738,0.17376967422443207,0.020451830471956818
