Compound,avg_cliff_lap,median_cliff_lap,avg_loss_per_lap,peak_loss_per_lap,stints,races
SOFT,11.459016393442623,11.0,0.09006934420060168,1.188099962371608,140,12
MEDIUM,10.993265993265993,10.0,0.05968645474810969,0.9471417911587989,317,17
HARD,12.177304964539006,11.0,0.05684999316287875,0.9777446466525284,291,17
